productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,productkeywords,productnameshort,productweight,freeshippingitem,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription
AGR11,AGR11,Agera Ultra Performing Sunscreen SPF 25,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Ultra Performing Sunscreen SPF 25,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,,,,N,,N,N,,,Suncare
AGR12,AGR12,Agera Microderma Crystal C System,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Microderma Crystal C System,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansing Kits,,,,N,,N,N,,,Exfoliators
AGR13,AGR13,Agera Oil Free Moisturiser,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Oil Free Moisturiser,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Moisturisers & creams
AGR14,AGR14,Agera Ultra Moisture Complex,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Ultra Moisture Complex,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Moisturisers & creams
AGR15,AGR15,Agera Catalase Anhydro Enzyme Gel,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Catalase Anhydro Enzyme Gel,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Serums & gels, Supplements"
AGR16,AGR16,Agera Recovery Complex,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Recovery Complex,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Serums & gels, Supplements"
AGR17,AGR17,Agera Phyto Lightening Cream,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Phyto Lightening Cream,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Serums & gels, Supplements"
AGR18,AGR18,Agera Anti-Ageing Mini Skincare Kit,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Anti-Ageing Mini Skincare Kit,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Anti-Aging Skin Care Kits,,,,N,,N,N,,,Accessories
AGR19,AGR19,Agera Acne Pack,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Acne Pack,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Acne Treatments & Kits,,,,N,,N,N,,,Accessories
AGR20,AGR20,Agera Home Exfoliation Kit,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Home Exfoliation Kit,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Anti-Aging Skin Care Kits,,,,N,,N,N,,,Accessories
AGR21,AGR21,Agera Oxy Infusion Cream,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Oxy Infusion Cream,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Acne Treatments & Kits,,,,N,,N,N,,,Accessories
AGR22,AGR22,Agera Anti-Bacterial Peptide Cream,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Anti-Bacterial Peptide Cream,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Acne Treatments & Kits,,,,N,,N,N,,,"Serums & gels, Supplements"
ANP001,ANP001,Advanced Nutrition Programme Skin Accumax 60caps,,,,2,11/17/2015 12:07,,,,,ANP Skin Accumax 60caps,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP002,ANP002,Advanced Nutrition Programme Skin Accumax 120caps,,,,2,1/13/2016 10:54,,,,,ANP Skin Accumax 120caps,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP003,ANP003,Advanced Nutrition Programme Collagen Support,,,,0,1/20/2016 11:16,,,,,ANP Collagen Support,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP004,ANP004,Advanced Nutrition Programme Skin Defender,,,,0,1/20/2016 10:57,,,,,ANP Skin Defender,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP005,ANP005,Advanced Nutrition Programme Skin Omegas +,,,,1,1/20/2016 11:13,,,,"skin omegas, anp, advanced nutrition programme,",ANP Skin Omegas +,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP005-M,ANP005-M,Advanced Nutrition Programme Skin Omegas + Mini 20 Caps,,,,5,1/20/2016 11:11,,,,"skin omegas, anp, advanced nutrition programme,",ANP Skin Omegas + Mini 20 Caps,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP006,ANP006,Advanced Nutrition Programme Supersize Skin Omegas + 180 Caps,,,,1,1/26/2016 11:18,,,,,ANP Supersize Skin Omegas + 180 Caps,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP007,ANP007,Advanced Nutrition Programme Skin Pure,,,,0,1/20/2016 10:57,,,,,ANP Skin Pure,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP008,ANP008,Advanced Nutrition Programme Skin Vit A +,,,,3,1/6/2016 9:49,,,,,ANP Skin Vit A +,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP009,ANP009,Advanced Nutrition Programme Skin Vit C,,,,7,1/20/2016 10:57,,,,ANP Skin Vit C,ANP Skin Vit C,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP010,ANP010,Advanced Nutrition Programme Skin Vitality 1,,,,1,1/6/2016 9:30,,,,,ANP Skin Vitality 1,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP011,ANP011,Advanced Nutrition Programme Skin Vitality 2,,,,0,1/6/2016 9:30,,,,"skin vitality 2, skin vitamins, nutrition, advanced nutrition programme, anp,",ANP Skin Vitality 2,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP012,ANP012,Advanced Nutrition Programme Digest Pro,,,,0,1/20/2016 11:03,,,,ANP Digest Pro Enzyme & Herbal Formula,ANP Digest Pro,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP013,ANP013,Advanced Nutrition Programme Glutamine Powder,,,,0,1/20/2016 11:03,,,,ANP Glutamine Immune Support,ANP Glutamine,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP014,ANP014,Advanced Nutrition Programme Glucosamine Plus,,,,0,1/20/2016 11:03,,,,,ANP Glucosamine Plus,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP015,ANP015,Advanced Nutrition Programme Metabolic Support,,,,0,1/20/2016 11:03,,,,metabolic support,ANP Metabolic Support,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Diet Pills,,,,N,,N,N,,,Supplements
ANP016,ANP016,Advanced Nutrition Programme Nail Science,,,,0,1/20/2016 11:03,,,,,ANP Nail Science,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP017,ANP017,Advanced Nutrition Programme Omega 3 Fish Oil,,,,0,1/20/2016 11:03,,,,ANP Omega 3 Fish Oil,ANP Omega 3 Fish Oil,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP018,ANP018,Advanced Nutrition Programme Probiotics,,,,0,1/20/2016 11:03,,,,ANP Mixed Probiotic Powder,ANP Probiotics,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP019,ANP019,Advanced Nutrition Programme Pro-Vitality Formula,,,,1,1/13/2016 10:54,,,,"ANP, pro vitality",ANP Pro-Vitality Formula,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP019-2,ANP019-2,Advanced Nutrition Programme Pro-Vitality Formula Double Pack,,,,0,1/20/2016 12:47,,,,"ANP, pro vitality",ANP Pro-Vitality Formula Double Pack,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP020,ANP020,Advanced Nutrition Programme Vitamin C Plus,,,,1,1/20/2016 11:03,,,,ANP Vitamin C Plus,ANP Vitamin C Plus,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP023,ANP023,Advanced Nutrition Programme Party Pack,,,Y,0,1/20/2016 11:03,,,,,ANP Party Pack,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP024,ANP024,Advanced Nutrition Programme Pregnancy Pack,,,Y,0,1/20/2016 11:03,,,,,ANP Pregnancy Pack,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP025,ANP025,Advanced Nutrition Programme Pure Detox Pack,,,Y,0,1/20/2016 11:03,,,,Pure Detox Pack,ANP Pure Detox Pack,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP026,ANP026,Advanced Nutrition Programme Sun Pack,,,Y,0,1/20/2016 11:03,,,,,ANP Sun Pack,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP027,ANP027,Advanced Nutrition Programme Travel Pack,,,Y,0,1/20/2016 11:03,,,,,ANP Travel Pack,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP029,ANP029,Advanced Nutrition Programme Food Intolerance Test,,,,3,1/20/2016 11:03,,,,,ANP Food Intolerance Test,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition,,,,N,,N,N,,,Accessories
ANP030,ANP030,Advanced Nutrition Programme Skin Antioxidant,,,,2,1/20/2016 11:03,,,,,ANP Skin Antioxidant,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP031,ANP031,Advanced Nutrition Programme Skin Complete,,,,2,1/20/2016 11:03,,,,,ANP Skin Complete,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP032,ANP032,Advanced Nutrition Programme Colostrum-C,6/1/2015 0:00,,,1,1/20/2016 11:03,,,,,ANP Colostrum-C,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANP601,ANP601,Advanced Nutrition Programme Skincare Supplement Gift Box,,,Y,0,1/20/2016 11:03,,,,ANP Skincare Supplement Gift Box,ANP Skincare Supplement Gift Box,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANV01,ANV01,Aneva Derma Advanced Nutritional Skin Beverage,5/1/2015 0:00,,,6,1/22/2016 11:01,,,,,Aneva Derma Advanced Nutritional Skin Beverage,0.5,N,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
ANV02,ANV02,Aneva Derma Advanced Nutritional Skin Beverage Double Pack,6/5/2015 0:00,,,0,1/22/2016 16:56,,,,,,0.5,Y,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,,,,N,,N,N,,,Supplements
APD01,APD01,Apothederm Stretch Mark Cream,5/1/2015 0:00,,,0,9/18/2015 9:50,,,,,Apothederm Stretch Mark Cream,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Body Lotion,,,,N,,N,N,,,Moisturisers & creams
APD02,APD02,Apothederm Brightening Cleanser,5/1/2015 0:00,,,0,9/18/2015 9:50,,,,,Apothederm Brightening Cleanser,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
APD03,APD03,Apothederm Acne Clarifying Treatment,5/1/2015 0:00,,,0,9/18/2015 9:50,,,,,Apothederm Acne Clarifying Treatment,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
APD04,APD04,Apothederm Clarifying Toner,5/1/2015 0:00,,,0,9/18/2015 9:50,,,,,Apothederm Clarifying Toner,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Toners & cleansers
AQ01,AQ01,AQ Skin Solutions Active Serum,,,Y,0,10/13/2015 10:25,,,,AQ Skin Solutions Active Serum,AQ Skin Solutions Active Serum,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,,,,N,,N,N,,,Serums & gels
AQ02,AQ02,AQ Skin Solutions Eye Serum,,,Y,0,10/13/2015 10:25,,,,AQ Skin Solutions Eye Serum,AQ Skin Solutions Eye Serum,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AQ03,AQ03,AQ Skin Solutions GF Advanced Hair Complex,,,Y,0,10/13/2015 10:25,,,,AQ Skin Solutions GF Advanced Hair Complex,AQ Skin Solutions GF Advanced Hair Complex,0.5,N,Health & Beauty > Personal Care > Hair Care > Hair Loss Treatments,,,,N,,N,N,,,"Serums & gels, Haircare"
AQ04,AQ04,AQ Skin Solutions GF Recovery Serum,,,Y,0,10/13/2015 10:25,,,,AQ Skin Solutions GF Recovery Serum,AQ Skin Solutions GF Recovery Serum,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Anti-Aging Skin Care Kits,,,,N,,N,N,,,Serums & gels
AQ05,AQ05,AQ Skin Solutions GF Lash,,,Y,0,10/13/2015 10:25,,,,AQ Skin Solutions GF Recovery Serum,AQ Skin Solutions GF Lash,0.5,N,Health & Beauty > Personal Care > Cosmetics > Makeup > Eye Makeup > Eyelash Growth Treatments,,,,N,,N,N,,,"Eyecare, Serums & gels"
AQ06,AQ06,AQ Skin Solutions Vaginal Reconstructive Serum,,,Y,,10/13/2015 10:25,,,,AQ Skin Solutions Vaginal Reconstructive Serum,AQ Skin Solutions Vaginal Reconstructive Serum,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Body Lotion,,,,N,,N,N,,,Serums & gels
AUR001,AUR001,Auriga Auriderm XO,,,,2,2/8/2015 15:45,,,,"Auriderm XO Vitamin K, bruising",Auriga Auriderm XO,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,,,,N,,N,N,,,"Makeup, Moisturisers & creams"
AUR002,AUR002,Auriga Cernor XO Coverstick,,,,3,1/5/2016 14:05,,,,Cernor XO Dark Circle Coverstick,Auriga Cernor XO Coverstick,0.5,N,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers,,,,N,,N,N,,,"Eyecare, Serums & gels"
AUR002-2,AUR002-2,Auriga Cernor XO Coverstick Double Pack,,,,1,1/20/2016 12:47,,,,Cernor XO Dark Circle Coverstick,Auriga Cernor XO Coverstick Double Pack,0.5,N,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers,,,,N,,N,N,,,"Eyecare, Serums & gels"
AUR003,AUR003,Auriga Cernor XO Under Eye Cream,,,,3,10/8/2015 11:54,,,,"cerno xo, dark circle cream, eye cream, vitamin K oxide",Auriga Cernor XO Under Eye Cream,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,,,,N,,N,N,,,"Eyecare, Serums & gels"
AUR006,AUR006,Auriga Flavo-C Flash,,,,1,10/8/2015 11:56,,,,Flavo C Anti-Wrinkle Flash,Auriga Flavo-C Flash,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AUR006-0001,AUR006-0001,Auriga Flavo-C Flash + 0.3mm Dermal Roller,,,Y,1,11/13/2014 12:47,,AUR006,AUR006,Flavo C Anti-Wrinkle Flash,Auriga Flavo-C Flash + 0.3mm Dermal Roller,0.5,N,,,,,N,,N,N,,,Serums & gels
AUR007,AUR007,Auriga Flavo-C Forte,,,,2,10/8/2015 12:18,,,,Flavo C Forte Anti-Ageing Serum,Auriga Flavo-C Forte,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AUR007-0001,AUR007-0001,Auriga Flavo-C Forte + 0.3mm Dermal Roller,,,Y,2,11/13/2014 12:47,,AUR007,AUR007,Flavo C Forte Anti-Ageing Serum,Auriga Flavo-C Forte + 0.3mm Dermal Roller,0.5,N,,,,,N,,N,N,,,Serums & gels
AUR008,AUR008,Auriga Flavo-C Cream,,,,1,10/8/2015 12:22,,,,Flavo C Moisturising Cream,Auriga Flavo-C Cream,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Moisturisers & creams
AUR008-0001,AUR008-0001,Auriga Flavo-C Cream + 0.3mm Dermal Roller,,,Y,1,11/13/2014 12:47,,AUR008,AUR008,Flavo C Moisturising Cream,Auriga Flavo-C Cream + 0.3mm Dermal Roller,0.5,N,,,,,N,,N,N,,,Moisturisers & creams
AUR009,AUR009,Auriga Flavo-C Serum,,,,3,1/5/2016 14:05,,,,"flavo-c, flavo c, serum, vitamin c,",Auriga Flavo-C Serum,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AUR009-0001,AUR009-0001,Auriga Flavo-C Serum + 0.3mm Dermal Roller,,,Y,1,11/13/2014 12:47,,AUR009,,"flavo-c, flavo c, serum, vitamin c,",Auriga Flavo-C Serum + 0.3mm Dermal Roller,0.5,N,,,,,N,,N,N,,,Serums & gels
AUR010,AUR010,Auriga Melaclear Serum,,,,1,10/13/2015 10:17,,,,Melaclear Intense Depigmenting Serum,Auriga Melaclear Serum,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,,,,N,,N,N,,,Serums & gels
AUR010-0001,AUR010-0001,Auriga Melaclear Serum + 0.3mm Dermal Roller,,,Y,1,11/13/2014 12:47,,AUR010,AUR010,Melaclear Intense Depigmenting Serum,Auriga Melaclear Serum + 0.3mm Dermal Roller,0.5,N,,,,,N,,N,N,,,Serums & gels
AUR012,AUR012,Auriga Flavo-C Serum & Cream,,,,3,11/17/2014 15:23,,,AUR009,"flavo-c, flavo c, serum, vitamin c,",Auriga Flavo-C Serum & Cream,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Moisturisers & creams, Serums & gels"
AUR012-0001,AUR012-0001,Auriga Flavo-C Serum & Cream + 0.3mm Dermal Roller,,,Y,1,6/8/2015 14:21,,AUR012,,"flavo-c, flavo c, serum, vitamin c,",Auriga Flavo-C Serum & Cream + 0.3mm Dermal Roller,0.5,N,,,,,,,,,,,"Moisturisers & creams, Serums & gels"
AUR013,AUR013,Auriga Flavo-C Tonic,,,,1,11/17/2014 15:23,,,,"flavo c, tonic, aestheticare",Auriga Flavo-C Tonic,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Toners & Astringents,,,,N,,N,N,,,Toners & cleansers
AUR014,AUR014,Auriga Cernor XO Coverstick & Cream,,,,1,6/8/2015 14:21,,,,Cernor XO Dark Circle Coverstick,Auriga Cernor XO Coverstick & Cream,0.5,N,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers,,,,N,,N,N,,,"Eyecare, Serums & gels"
AUR014-0001,AUR014-0001,Auriga Cernor XO Coverstick & Cream + 0.3mm Dermal Roller,,,Y,1,6/8/2015 14:21,,AUR014,,Cernor XO Dark Circle Coverstick,,0.5,N,,,,,,,,,,,"Eyecare, Serums & gels"
CD001,CD001,Circadia Micro-Exfoliating Honey Cleanser,,,,1,10/12/2015 16:46,,,,Circadia Micro-Exfoliating Honey,Circadia Micro-Exfoliating Honey Cleanser,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
CD002,CD002,Circadia Vitamin Veil Cleanser 8oz,,,,2,1/11/2016 12:51,,,,Circadia Vitamin Veil,Circadia Vitamin Veil Cleanser 8oz,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
CD003,CD003,Circadia Vitamin Veil Cleanser 16oz,,,Y,0,2/24/2015 16:26,,,,Circadia Vitamin Veil Cleanser,Circadia Vitamin Veil Cleanser 16oz,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
CD004,CD004,Circadia Lipid Replacing Cleanser 8oz,,,,0,11/3/2015 11:23,,,,Circadia Lipid Replacing Cleanser,Circadia Lipid Replacing Cleanser 8oz,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
CD005,CD005,Circadia Lipid Replacing Cleanser 16oz,,,Y,0,11/17/2014 16:19,,,,Circadia Lipid Replacing Cleanser,Circadia Lipid Replacing Cleanser 16oz,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
CD006,CD006,Circadia Cleansing Gel With Salicylic 4oz,,,,2,1/5/2016 11:25,,,,Circadia Cleansing Gel With Salicylic,Circadia Cleansing Gel With Salicylic 4oz,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
CD007,CD007,Circadia Cleansing Gel With Salicylic 16oz,,,Y,0,8/24/2015 15:42,,,,Circadia Cleansing Gel With Salicylic,Circadia Cleansing Gel With Salicylic 16oz,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
CD008,CD008,Circadia Light Day Sunscreen SPF30 2oz,,,,2,11/6/2015 11:48,,,,Circadia Light Day Cream SPF30 2oz,Circadia Light Day Sunscreen SPF30 2oz,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,,,,N,,N,N,,,Suncare
CD009,CD009,Circadia Light Day Sunscreen SPF30 8oz,,,Y,0,11/17/2014 16:21,,,,Circadia Light Day Cream SPF30 8oz,Circadia Light Day Sunscreen SPF30 8oz,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,,,,N,,N,N,,,Suncare
